Name,Rating,Reviews,Salaries,jobs,Industry&Location
Conduent,3.5,2.7k,17.5k,56,BPO | Bangalore / Bengaluru +28 other locations
Ceat Tyres,4.0,2.7k,12.3k,3,Auto Components | Nagpur +124 other locations
NatWest Group,4.0,2.7k,19.3k,1,Banking | Gurgaon / Gurugram +23 other locations
Square Yards,3.7,2.7k,8.7k,24,Internet | Gurgaon / Gurugram +47 other locations
GeBBS Healthcare Solutions,3.7,2.7k,11.2k,31,Healthcare | Mumbai +21 other locations
InterGlobe Aviation,3.6,2.7k,12.8k,46,Aviation | New Delhi +93 other locations
Grasim Industries,4.0,2.7k,10.8k,7,Building Material | Bharuch +184 other locations
Whitehat jr,3.4,2.7k,9.4k,--,EdTech | Mumbai +47 other locations
UnitedHealth,4.0,2.7k,17.5k,--,Healthcare | Hyderabad / Secunderabad +15 other locations
Alstom Transportation,3.7,2.7k,12.8k,331,Engineering & Construction | Bangalore / Bengaluru +71 other locations
ArcelorMittal Nippon Steel,4.1,2.6k,10k,10,Iron & Steel | Surat +74 other locations
RSPL Group,4.1,2.6k,9.1k,31,FMCG | Kanpur +222 other locations
Tata Capital,4.0,2.6k,9.5k,1.1k,NBFC | Mumbai +266 other locations
CMS IT Services,3.1,2.6k,10.1k,9,IT Services & Consulting | Mumbai +147 other locations
Max Healthcare,4.1,2.6k,9.6k,90,Healthcare | New Delhi +67 other locations
Tata Technologies,3.6,2.6k,20.6k,82,Engineering & Construction | Pune +47 other locations
PepsiCo,4.0,2.6k,11.2k,269,Food Processing | Hyderabad / Secunderabad +247 other locations
Tata AIG,4.1,2.6k,10.5k,117,Insurance | Mumbai +241 other locations
S&P Global,4.1,2.6k,17.9k,106,Analytics & KPO | Hyderabad / Secunderabad +42 other locations
Titan Company,4.3,2.6k,8.8k,64,Retail | Bangalore / Bengaluru +159 other locations
Varroc Group,3.6,2.6k,8.9k,35,Auto Components | Pune +57 other locations
UNO Minda,4.0,2.6k,9.6k,19,Auto Components | Pune +95 other locations
Amazon Transportation Services,4.2,2.5k,7.7k,--,Hyderabad / Secunderabad +208 other locations
UPL,4.1,2.5k,10.8k,35,Agro Chemicals | Ankleshwar +170 other locations
ACC,3.9,2.5k,9.3k,5,Building Material | Mumbai +239 other locations
Zensar Technologies,3.7,2.5k,25.1k,329,IT Services & Consulting | Pune +25 other locations
Torrent Pharmaceuticals,3.9,2.5k,10k,30,Pharma | Ahmedabad +108 other locations
Croma,4.0,2.5k,7.8k,45,Retail | Mumbai +169 other locations
Mankind Pharma,3.9,2.5k,8.6k,11,Pharma | New Delhi +218 other locations
Walmart,3.7,2.5k,17.6k,202,Retail | Bangalore / Bengaluru +84 other locations
Afcons Infrastructure,4.2,2.5k,8.1k,5,Engineering & Construction | Mumbai +110 other locations
Shoppers Stop,4.1,2.5k,7.1k,9,Retail | Mumbai +78 other locations
Bajaj Allianz General Insurance,3.9,2.5k,8.9k,312,Insurance | Pune +253 other locations
Societe Generale Global Solution Centre,3.8,2.5k,20.5k,22,IT Services & Consulting | Bangalore / Bengaluru +21 other locations
Barclays,3.8,2.5k,25.3k,--,Banking | Pune +33 other locations
Dilip Buildcon,4.0,2.5k,8k,15,Engineering & Construction | Bhopal +207 other locations
TVS Credit,4.3,2.4k,6.6k,11,NBFC | Chennai +350 other locations
I Process Services,3.9,2.4k,5.4k,5,Mumbai +356 other locations
Quest Global,3.6,2.4k,18.6k,121,IT Services & Consulting | Bangalore / Bengaluru +41 other locations
HDFC Sales,4.0,2.4k,7.9k,30,Financial Services | Mumbai +304 other locations
Capita,3.6,2.4k,13.7k,56,IT Services & Consulting | Pune +27 other locations
Flex,4.0,2.4k,16.7k,150,Electronics Manufacturing | Chennai +41 other locations
Sahrudaya Healthcare (Medicover Hospitals),4.5,2.4k,3.1k,21,Healthcare | Hyderabad / Secunderabad +43 other locations
Nokia,4.1,2.4k,15.1k,41,Telecom | Bangalore / Bengaluru +159 other locations
MSN Laboratories,3.7,2.4k,8.5k,37,Pharma | Hyderabad / Secunderabad +85 other locations
ElasticRun,3.5,2.4k,6.2k,5,Logistics | Pune +368 other locations
Fiserv,3.0,2.4k,18.4k,40,FinTech | Pune +32 other locations
PhonePe,4.0,2.4k,10.1k,145,FinTech | Bangalore / Bengaluru +290 other locations
Apollo Tyres,4.0,2.4k,9.5k,5,Auto Components | Chennai +159 other locations
Nestle,3.9,2.3k,9.4k,70,FMCG | Gurgaon / Gurugram +261 other locations
IKS Health,3.6,2.3k,10.2k,34,BPO | Mumbai +24 other locations
Statestreet HCL Services,3.3,2.3k,16k,--,BPO | Chennai +16 other locations
GATI-KWE,3.9,2.3k,5.6k,2,Logistics | Hyderabad / Secunderabad +155 other locations
Suzlon Group,4.1,2.3k,7.5k,22,Power | Pune +117 other locations
Zomato,3.8,2.3k,12.9k,1,Internet | Gurgaon / Gurugram +199 other locations
Landmark Group,4.0,2.3k,9.1k,10,Retail | Bangalore / Bengaluru +154 other locations
AGS Health,4.0,2.3k,10.6k,17,Analytics & KPO | Chennai +49 other locations
IDFC FIRST Bharat,4.4,2.3k,4.6k,1,Financial Services | Chennai +337 other locations
Sammaan Capital Limited,3.7,2.3k,7.4k,22,NBFC | New Delhi +195 other locations
Blue Dart Express,4.0,2.3k,6.4k,6,Logistics | Mumbai +252 other locations
BlackBuck,3.8,2.3k,6.6k,6,Internet | Bangalore / Bengaluru +338 other locations
Fujitsu,3.8,2.3k,16.2k,99,IT Services & Consulting | Pune +36 other locations
DS Group,4.1,2.3k,6.4k,31,FMCG | Noida +245 other locations
Paras Hospital,4.4,2.2k,3k,15,Healthcare | Patna +53 other locations
Yazaki,3.8,2.2k,8.2k,5,Auto Components | Pune +81 other locations
Shree Cement,3.8,2.2k,9.4k,--,Building Material | Ajmer +224 other locations
Domino's Pizza,3.9,2.2k,4.3k,--,New Delhi +229 other locations
